account_title,account_number,normal_balance,description,is_active,expense_class,default_nature,default_apply_reserve
Depreciation - Leased Asset Improvements,5-05-01-090,Debit,"This account is used to record the periodic allocation of cost for the wear and tear of improvements on lands, buildings, and other leasehold improvements under lease contract/agreement in accordance with the prescribed policy on depreciation by COA. Subsidiary ledger: 01 - Land 02 - Buildings 99 - Other Leasehold Improvements",TRUE,Other,,FALSE
Depreciation - Service Concession Assets,5-05-01-100,Debit,This account is used to record the periodic allocation of cost for the wear and tear of other assets under service concession arrangement in accordance with the prescribed policy on depreciation by COA.,TRUE,Other,,FALSE
"Depreciation - Other Property, Plant and Equipment",5-05-01-990,Debit,,TRUE,Other,,FALSE
Amortization - Intangible Assets,5-05-02-010,Debit,This account is used to record the periodic allocation of cost of intangible assets. Subsidiary ledger: 01 - Patents/Copyrights 02 - Computer Software 04 - Other Intangible Assets,TRUE,Other,,FALSE
Impairment Loss - Financial Assets Held to Maturity,5-05-03-010,Debit,This account is used to record the loss incurred due to impairment of financial assets held to maturity.,TRUE,Other,,FALSE
Impairment Loss - Loans and Receivables,5-05-03-020,Debit,This account is used to record the loss incurred due to impairment of loans and receivables and other financial assets where the amortized cost is greater than the value of estimated future cash flows discounted at original effective interest rate.,TRUE,Other,,FALSE
Impairment Loss - Lease Receivables,5-05-03-030,Debit,This account is used to record the loss incurred due to impairment of operating and finance lease receivables.,TRUE,Other,,FALSE
Impairment Loss - Investments in GOCCs,5-05-03-040,Debit,This account is used to record the loss incurred due to impairment of investments in GOCCs.,TRUE,Other,,FALSE
Impairment Loss - Investments in Joint Venture,5-05-03-050,Debit,,TRUE,Other,,FALSE
Impairment Loss - Other Receivables,5-05-03-060,Debit,This account is used to record the loss incurred due to impairment of other receivables.,TRUE,Other,,FALSE
Impairment Loss - Inventories,5-05-03-070,Debit,This account is used to record the loss incurred due to impairment of inventories for sale.,TRUE,Other,,FALSE
Impairment Loss - Investment Property,5-05-03-080,Debit,This account is used to record the loss incurred due to impairment of investment property where the carrying value is greater than the depreciated replacement cost.,TRUE,Other,,FALSE
"Impairment Loss -Property, Plant and Equipment",5-05-03-090,Debit,This account is used to record the loss incurred due to impairment of PPE where the carrying value is greater than the depreciated replacement cost.,TRUE,Other,,FALSE
Impairment Loss -Intangible Assets,5-05-03-100,Debit,This account is used to record the loss incurred due to impairment of intangible assets where the carrying value is greater than the service potential cost.,TRUE,Other,,FALSE
Loss on Foreign Exchange (FOREX),5-05-04-010,Debit,This account is used to record the losses arising from revaluation of assets and liabilities denominated in foreign currencies.,TRUE,Other,,FALSE
Loss on Sale of Investments,5-05-04-020,Debit,,TRUE,Other,,FALSE
Loss on Sale of Investment Property,5-05-04-030,Debit,This account is used to record the amount of loss on sale of investment property.,TRUE,Other,,FALSE
"Loss on Sale of Property, Plant and Equipment",5-05-04-040,Debit,This account is used to record the amount of loss on sale of PPE.,TRUE,Other,,FALSE
Loss on Sale of Biological Assets,5-05-04-050,Debit,This account is used to record the amount of loss on sale of biological assets.,TRUE,Other,,FALSE
Loss on Sale of Intangible Assets,5-05-04-060,Debit,This account is used to record the amount of loss on sale of intangible assets.,TRUE,Other,,FALSE
